gsn,drugname,strength,dosetype, cost 
003293,NORETHINDRONE-ETHIN. ESTRADIOL,0.4-0.035,TABLET, $0.80 
003294,NORETHINDRONE-ETHIN. ESTRADIOL,0.5-0.035,TABLET, $1.13 
003298,NORETHINDRONE-ETHIN. ESTRADIOL,7 DAYS X 3,TABLET, $0.40 
003299,NORETHINDRONE-ETHIN. ESTRADIOL,7-9-5,TABLET, $1.75 
003300,NORETHINDRONE-E.ESTRADIOL-IRON,1.5-30(21),TABLET, $0.15 
003304,NORETHINDRONE AC-ETH ESTRADIOL,1.5-0.03MG,TABLET, $0.92 
003305,NORETHINDRONE AC-ETH ESTRADIOL,1MG-20MCG,TABLET, $0.47 
003308,ETHYNODIOL D-ETHINYL ESTRADIOL,1 MG-35MCG,TABLET, $0.76 
003309,ETHYNODIOL D-ETHINYL ESTRADIOL,1 MG-50MCG,TABLET, $1.07 
003310,NORGESTREL-ETHINYL ESTRADIOL,0.3-0.03MG,TABLET, $0.58 
003313,NORETHINDRONE,0.35 MG,TABLET, $0.11 
003314,LEVONORGESTREL/ETHIN.ESTRADIOL,0.15-0.03,TABLET, $0.25 
003315,LEVONORGESTREL/ETHIN.ESTRADIOL,6-5-10,TABLET, $0.73 
003349,BUPIVACAINE HCL/EPINEPHRINE,0.25-.0005,VIAL, $0.30 
003350,BUPIVACAINE HCL/EPINEPHRINE,0.5-1:200K,VIAL, $0.32 
003358,BUPIVACAINE HCL,2.5 MG/ML,VIAL, $0.07 
003359,BUPIVACAINE HCL,5 MG/ML,VIAL, $0.08 
003377,CHLOROPROCAINE HCL/PF,30 MG/ML,VIAL, $1.35 
003385,LIDOCAINE HCL/EPINEPHRINE,0.5-1:200K,VIAL, $0.12 
003386,LIDOCAINE HCL/EPINEPHRINE/PF,1.5-1:200K,VIAL, $0.43 
003388,LIDOCAINE HCL/EPINEPHRINE,1%-1:100K,VIAL, $0.13 
003389,LIDOCAINE HCL/EPINEPHRINE/PF,2%-1:200K,VIAL, $0.49 
003390,LIDOCAINE HCL/EPINEPHRINE,2 %-1:100K,VIAL, $0.23 
003402,LIDOCAINE HCL,5 MG/ML,VIAL, $0.14 
003404,LIDOCAINE HCL,10 MG/ML,VIAL, $0.08 
003405,LIDOCAINE HCL,20 MG/ML,VIAL, $0.11 
003411,LIDOCAINE HCL,2 %,SOLUTION, $0.05 
003412,LIDOCAINE HCL,40 MG/ML,SOLUTION, $0.85 
003480,BENZOCAINE,10 %,GEL (GRAM), $1.28 
003481,BENZOCAINE,20 %,GEL (GRAM), $0.07 
003533,DOXAPRAM HCL,20 MG/ML,VIAL, $3.45 
003623,PENTOBARBITAL SODIUM,50 MG/ML,VIAL, $43.96 
003675,TRYPTOPHAN,500 MG,CAPSULE, $0.24 
003690,TEMAZEPAM,30 MG,CAPSULE, $0.14 
003693,TRIAZOLAM,0.125 MG,TABLET, $1.82 
003694,TRIAZOLAM,0.25 MG,TABLET, $1.26 
003699,ACETAMINOPHEN/DIPHENHYDRAMINE,500MG-25MG,TABLET, $0.01 
003705,DIPHENHYDRAMINE HCL,25 MG,TABLET, $0.03 
003707,DOXYLAMINE SUCCINATE,25 MG,TABLET, $0.24 
003713,MEPROBAMATE,200 MG,TABLET, $4.69 
003714,MEPROBAMATE,400 MG,TABLET, $5.35 
003726,HYDROXYZINE HCL,10 MG,TABLET, $0.06 
003728,HYDROXYZINE HCL,25 MG,TABLET, $0.05 
003729,HYDROXYZINE HCL,50 MG,TABLET, $0.07 
003731,HYDROXYZINE PAMOATE,25 MG,CAPSULE, $0.06 
003732,HYDROXYZINE PAMOATE,50 MG,CAPSULE, $0.13 
003734,CHLORDIAZEPOXIDE HCL,10 MG,CAPSULE, $0.19 
003735,CHLORDIAZEPOXIDE HCL,25 MG,CAPSULE, $0.26 
003736,CHLORDIAZEPOXIDE HCL,5 MG,CAPSULE, $0.30 
003745,CLORAZEPATE DIPOTASSIUM,3.75 MG,TABLET, $1.36 
003746,CLORAZEPATE DIPOTASSIUM,7.5 MG,TABLET, $1.30 
003755,LORAZEPAM,2 MG/ML,VIAL, $1.36 
003756,LORAZEPAM,4 MG/ML,VIAL, $1.53 
003757,LORAZEPAM,0.5 MG,TABLET, $0.05 
003758,LORAZEPAM,1 MG,TABLET, $0.09 
003759,LORAZEPAM,2 MG,TABLET, $0.06 
003763,DIAZEPAM,5 MG/ML,VIAL, $3.16 
003764,DIAZEPAM,5 MG/5 ML,SOLUTION, $1.41 
003766,DIAZEPAM,10 MG,TABLET, $0.03 
003767,DIAZEPAM,2 MG,TABLET, $0.03 
003768,DIAZEPAM,5 MG,TABLET, $0.03 
003769,OXAZEPAM,10 MG,CAPSULE, $0.77 
003770,OXAZEPAM,15 MG,CAPSULE, $0.97 
003771,OXAZEPAM,30 MG,CAPSULE, $1.41 
003773,ALPRAZOLAM,0.25 MG,TABLET, $0.03 
003774,ALPRAZOLAM,0.5 MG,TABLET, $0.04 
003775,ALPRAZOLAM,1 MG,TABLET, $0.03 
003780,MIDAZOLAM HCL,5 MG/ML,VIAL, $0.73 
003781,BUSPIRONE HCL,10 MG,TABLET, $0.04 
003782,BUSPIRONE HCL,5 MG,TABLET, $0.03 
003788,CHLORPROMAZINE HCL,25 MG/ML,AMPUL, $16.09 
003796,CHLORPROMAZINE HCL,10 MG,TABLET, $0.81 
003797,CHLORPROMAZINE HCL,100 MG,TABLET, $2.04 
003798,CHLORPROMAZINE HCL,200 MG,TABLET, $2.79 
003799,CHLORPROMAZINE HCL,25 MG,TABLET, $1.07 
003800,CHLORPROMAZINE HCL,50 MG,TABLET, $1.36 
003818,FLUPHENAZINE DECANOATE,25 MG/ML,VIAL, $14.91 
003823,FLUPHENAZINE HCL,1 MG,TABLET, $0.39 
003824,FLUPHENAZINE HCL,10 MG,TABLET, $1.41 
003825,FLUPHENAZINE HCL,2.5 MG,TABLET, $0.88 
003826,FLUPHENAZINE HCL,5 MG,TABLET, $0.88 
003830,PERPHENAZINE,16 MG,TABLET, $0.82 
003831,PERPHENAZINE,2 MG,TABLET, $0.54 
003832,PERPHENAZINE,4 MG,TABLET, $0.46 
003833,PERPHENAZINE,8 MG,TABLET, $0.61 
003837,PROCHLORPERAZINE EDISYLATE,5 MG/ML,VIAL, $9.83 
003844,PROCHLORPERAZINE,25 MG,SUPP.RECT, $6.91 
003846,PROCHLORPERAZINE MALEATE,10 MG,TABLET, $0.59 
003848,PROCHLORPERAZINE MALEATE,5 MG,TABLET, $0.38 
003851,TRIFLUOPERAZINE HCL,1 MG,TABLET, $0.79 
003852,TRIFLUOPERAZINE HCL,10 MG,TABLET, $2.12 
003853,TRIFLUOPERAZINE HCL,2 MG,TABLET, $1.15 
003854,TRIFLUOPERAZINE HCL,5 MG,TABLET, $1.35 
003859,THIORIDAZINE HCL,10 MG,TABLET, $0.53 
003860,THIORIDAZINE HCL,100 MG,TABLET, $0.73 
003864,THIORIDAZINE HCL,25 MG,TABLET, $0.85 
003865,THIORIDAZINE HCL,50 MG,TABLET, $0.85 
003866,PROMETHAZINE HCL,25 MG/ML,AMPUL, $2.11 
003867,PROMETHAZINE HCL,50 MG/ML,AMPUL, $3.15 
003870,PROMETHAZINE HCL,25 MG/ML,VIAL, $1.09 
003871,PROMETHAZINE HCL,50 MG/ML,VIAL, $2.36 
003872,PROMETHAZINE HCL,12.5 MG,SUPP.RECT, $5.78 
003873,PROMETHAZINE HCL,25 MG,SUPP.RECT, $4.70 
003874,PROMETHAZINE HCL,50 MG,SUPP.RECT, $25.90 
003876,PROMETHAZINE HCL,6.25MG/5ML,SYRUP, $0.05 
003877,PROMETHAZINE HCL,12.5 MG,TABLET, $0.11 
003878,PROMETHAZINE HCL,25 MG,TABLET, $0.04 
003879,PROMETHAZINE HCL,50 MG,TABLET, $0.16 
003966,HALOPERIDOL DECANOATE,50 MG/ML,AMPUL, $16.65 
003970,HALOPERIDOL LACTATE,5 MG/ML,VIAL, $1.23 
003971,HALOPERIDOL LACTATE,2 MG/ML,ORAL CONC, $0.51 
003972,HALOPERIDOL,0.5 MG,TABLET, $0.23 
003973,HALOPERIDOL,1 MG,TABLET, $0.45 
003974,HALOPERIDOL,10 MG,TABLET, $0.35 
003975,HALOPERIDOL,2 MG,TABLET, $0.61 
003976,HALOPERIDOL,20 MG,TABLET, $1.47 
003977,HALOPERIDOL,5 MG,TABLET, $0.49 
003981,LOXAPINE SUCCINATE,10 MG,CAPSULE, $0.76 
003982,LOXAPINE SUCCINATE,25 MG,CAPSULE, $1.08 
003983,LOXAPINE SUCCINATE,5 MG,CAPSULE, $0.73 
003984,LOXAPINE SUCCINATE,50 MG,CAPSULE, $1.45 
003995,THIOTHIXENE,1 MG,CAPSULE, $1.10 
003996,THIOTHIXENE,10 MG,CAPSULE, $2.25 
003997,THIOTHIXENE,2 MG,CAPSULE, $1.19 
003999,THIOTHIXENE,5 MG,CAPSULE, $1.60 
004000,LITHIUM CARBONATE,150 MG,CAPSULE, $0.09 
004001,LITHIUM CARBONATE,300 MG,CAPSULE, $0.12 
004002,LITHIUM CARBONATE,600 MG,CAPSULE, $0.26 
004003,LITHIUM CARBONATE,300 MG,TABLET, $0.17 
004004,LITHIUM CARBONATE,300 MG,TABLET ER, $0.20 
004005,LITHIUM CARBONATE,450 MG,TABLET ER, $0.47 
004010,CYPROHEPTADINE HCL,2 MG/5 ML,SYRUP, $0.06 
004011,CYPROHEPTADINE HCL,4 MG,TABLET, $0.12 
004026,METHYLPHENIDATE HCL,10 MG,TABLET, $0.18 
004027,METHYLPHENIDATE HCL,20 MG,TABLET, $0.23 
004028,METHYLPHENIDATE HCL,5 MG,TABLET, $0.14 
004029,METHYLPHENIDATE HCL,20 MG,TABLET ER, $1.96 
004087,MORPHINE SULFATE,10 MG/5 ML,SOLUTION, $0.06 
004089,MORPHINE SULFATE,20 MG/5 ML,SOLUTION, $0.10 
004090,MORPHINE SULFATE,100 MG/5ML,SOLUTION, $0.34 
004091,MORPHINE SULFATE,15 MG,TABLET, $0.35 
004092,MORPHINE SULFATE,30 MG,TABLET, $0.73 
004096,MORPHINE SULFATE,30 MG,TABLET ER, $0.47 
004097,MORPHINE SULFATE,60 MG,TABLET ER, $0.81 
004103,HYDROMORPHONE HCL,2 MG/ML,SYRINGE, $3.28 
004106,HYDROMORPHONE HCL,2 MG/ML,VIAL, $1.44 
004110,HYDROMORPHONE HCL,2 MG,TABLET, $0.09 
004112,HYDROMORPHONE HCL,4 MG,TABLET, $0.16 
004120,CODEINE/BUTALBITAL/ASA/CAFFEIN,30-50-325,CAPSULE, $2.44 
004149,BUTALBIT/ACETAMIN/CAFF/CODEINE,50-325-30,CAPSULE, $1.09 
004163,ACETAMINOPHEN WITH CODEINE,300MG-15MG,TABLET, $0.21 
004165,ACETAMINOPHEN WITH CODEINE,300MG-30MG,TABLET, $0.23 
004169,ACETAMINOPHEN WITH CODEINE,300MG-60MG,TABLET, $0.38 
004186,CODEINE SULFATE,30 MG,TABLET, $0.76 
004222,OXYCODONE HCL/ACETAMINOPHEN,5 MG-325MG,TABLET, $0.09 
004224,OXYCODONE HCL,5 MG/5 ML,SOLUTION, $0.07 
004225,OXYCODONE HCL,5 MG,TABLET, $0.12 
004228,LEVORPHANOL TARTRATE,2 MG,TABLET, $31.37 
004229,NALBUPHINE HCL,10 MG/ML,AMPUL, $5.43 
004237,METHADONE HCL,10 MG/5 ML,SOLUTION, $0.42 
004238,METHADONE HCL,5 MG/5 ML,SOLUTION, $0.21 
004239,METHADONE HCL,10 MG/ML,ORAL CONC, $0.10 
004240,METHADONE HCL,10 MG,TABLET, $0.06 
004242,METHADONE HCL,5 MG,TABLET, $0.21 
004247,SUFENTANIL CITRATE,50 MCG/ML,AMPUL, $2.84 
004248,ALFENTANIL HCL,500 MCG/ML,AMPUL, $1.62 
004285,MEFENAMIC ACID,250 MG,CAPSULE, $3.39 
004287,BUTORPHANOL TARTRATE,1 MG/ML,VIAL, $7.25 
004288,BUTORPHANOL TARTRATE,2 MG/ML,VIAL, $4.14 
004292,PENTAZOCINE HCL/NALOXONE HCL,50MG-0.5MG,TABLET, $3.59 
004308,BUTALBITAL/ASPIRIN/CAFFEINE,50-325-40,CAPSULE, $0.62 
004312,ORPHENADRINE/ASPIRIN/CAFFEINE,50-770-60,TABLET, $20.48 
004376,ASPIRIN,325 MG,TABLET, $0.01 
004380,ASPIRIN,81 MG,TAB CHEW, $0.03 
004381,ASPIRIN,325 MG,TABLET DR, $0.02 
004439,SALSALATE,750 MG,TABLET, $1.88 
004443,DIFLUNISAL,500 MG,TABLET, $1.59 
004444,MESALAMINE,4 G/60 ML,ENEMA, $0.26 
004450,BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,CAPSULE, $5.56 
004451,BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,TABLET, $0.15 
004459,BUTALBITAL/ACETAMINOPHEN,50MG-325MG,TABLET, $1.34 
004473,ACETAMINOPHEN,500 MG,CAPSULE, $0.05 
004475,ACETAMINOPHEN,120 MG,SUPP.RECT, $0.24 
004478,ACETAMINOPHEN,650 MG,SUPP.RECT, $0.37 
004484,ACETAMINOPHEN,160 MG/5ML,LIQUID, $0.01 
004485,ACETAMINOPHEN,500MG/15ML,LIQUID, $0.02 
004489,ACETAMINOPHEN,325 MG,TABLET, $0.02 
004490,ACETAMINOPHEN,500 MG,TABLET, $0.01 
004493,ACETAMINOPHEN,160 MG,TAB CHEW, $0.30 
004504,DIHYDROERGOTAMINE MESYLATE,1 MG/ML,AMPUL, $57.50 
004514,NALOXONE HCL,1 MG/ML,SYRINGE, $10.53 
004516,NALOXONE HCL,0.4 MG/ML,VIAL, $4.29 
004518,NALTREXONE HCL,50 MG,TABLET, $1.01 
004521,PHENYTOIN SODIUM EXTENDED,100 MG,CAPSULE, $0.13 
004528,PHENYTOIN SODIUM,50 MG/ML,VIAL, $0.51 
004529,PHENYTOIN,125 MG/5ML,ORAL SUSP, $0.11 
004531,PHENYTOIN,50 MG,TAB CHEW, $0.45 
004535,VALPROIC ACID (AS SODIUM SALT),250 MG/5ML,SOLUTION, $0.03 
004536,VALPROIC ACID,250 MG,CAPSULE, $0.26 
004537,DIVALPROEX SODIUM,125 MG,CAP DR SPR, $0.44 
004538,DIVALPROEX SODIUM,125 MG,TABLET DR, $0.08 
004539,DIVALPROEX SODIUM,250 MG,TABLET DR, $0.11 
004540,DIVALPROEX SODIUM,500 MG,TABLET DR, $0.15 
004543,PRIMIDONE,250 MG,TABLET, $0.29 
004544,PRIMIDONE,50 MG,TABLET, $0.18 
004553,METHSUXIMIDE,300 MG,CAPSULE, $5.11 
004554,ETHOSUXIMIDE,250 MG,CAPSULE, $0.67 
004555,ETHOSUXIMIDE,250 MG/5ML,SOLUTION, $0.16 
004557,CARBAMAZEPINE,100 MG/5ML,ORAL SUSP, $0.11 
004558,CARBAMAZEPINE,200 MG,TABLET, $0.19 
004559,CARBAMAZEPINE,100 MG,TAB CHEW, $0.44 
004560,CLONAZEPAM,0.5 MG,TABLET, $0.02 
004562,CLONAZEPAM,2 MG,TABLET, $0.06 
004575,AMANTADINE HCL,100 MG,CAPSULE, $0.25 
004576,AMANTADINE HCL,50 MG/5 ML,SOLUTION, $0.06 
004581,TRIHEXYPHENIDYL HCL,2 MG,TABLET, $0.06 
004582,TRIHEXYPHENIDYL HCL,5 MG,TABLET, $0.12 
004588,BENZTROPINE MESYLATE,2 MG/2 ML,AMPUL, $27.68 
004589,BENZTROPINE MESYLATE,0.5 MG,TABLET, $0.11 
004590,BENZTROPINE MESYLATE,1 MG,TABLET, $0.11 
004591,BENZTROPINE MESYLATE,2 MG,TABLET, $0.10 
004593,ORPHENADRINE CITRATE,30 MG/ML,VIAL, $9.31 
004595,ORPHENADRINE CITRATE,100 MG,TABLET ER, $0.44 
004626,DEXTROMETHORPHAN HBR,10 MG/5 ML,LIQUID, $0.06 
004630,DEXTROMETHORPHAN POLISTIREX,30 MG/5 ML,SUS ER 12H, $0.08 
004641,BENZONATATE,100 MG,CAPSULE, $0.10 
004653,METHOCARBAMOL,100 MG/ML,VIAL, $1.02 
004654,METHOCARBAMOL,500 MG,TABLET, $0.06 
004655,METHOCARBAMOL,750 MG,TABLET, $0.07 
004659,CHLORZOXAZONE,250 MG,TABLET, $13.06 
004660,CHLORZOXAZONE,500 MG,TABLET, $0.30 
004663,CARISOPRODOL,350 MG,TABLET, $0.11 
004664,METAXALONE,400 MG,TABLET, $4.19 
004666,DANTROLENE SODIUM,100 MG,CAPSULE, $1.68 
004667,DANTROLENE SODIUM,25 MG,CAPSULE, $0.63 
004668,DANTROLENE SODIUM,50 MG,CAPSULE, $1.13 
004669,DANTROLENE SODIUM,20 MG,VIAL, $69.05 
004676,SUCCINYLCHOLINE CHLORIDE,20 MG/ML,VIAL, $0.59 
004679,BACLOFEN,10 MG,TABLET, $0.05 
004680,BACLOFEN,20 MG,TABLET, $0.08 
004681,CYCLOBENZAPRINE HCL,10 MG,TABLET, $0.02 
004693,DRONABINOL,10 MG,CAPSULE, $4.16 
004694,DRONABINOL,2.5 MG,CAPSULE, $2.98 
004695,DRONABINOL,5 MG,CAPSULE, $5.97 
004704,SCOPOLAMINE,1 MG/3 DAY,PATCH TD 3, $7.49 
004720,DIMENHYDRINATE,50 MG,TABLET, $0.01 
004722,DOXYLAMINE SUCCINATE/VIT B6,10 MG-10MG,TABLET DR, $5.02 
004731,MECLIZINE HCL,12.5 MG,TABLET, $0.10 
004732,MECLIZINE HCL,25 MG,TABLET, $0.13 
004734,MECLIZINE HCL,50 MG,TABLET, $4.74 
004736,MECLIZINE HCL,25 MG,TAB CHEW, $0.03 
004740,BETHANECHOL CHLORIDE,10 MG,TABLET, $0.35 
004741,BETHANECHOL CHLORIDE,25 MG,TABLET, $0.51 
004742,BETHANECHOL CHLORIDE,5 MG,TABLET, $0.31 
004763,PYRIDOSTIGMINE BROMIDE,60 MG/5 ML,SOLUTION, $1.66 
004764,PYRIDOSTIGMINE BROMIDE,60 MG,TABLET, $0.41 
004765,PYRIDOSTIGMINE BROMIDE,180 MG,TABLET ER, $7.30 
004817,ATROPINE SULFATE,0.1 MG/ML,SYRINGE, $1.28 
004842,METHSCOPOLAMINE BROMIDE,2.5 MG,TABLET, $1.35 
004862,HYOSCYAMINE SULFATE,125MCG/5ML,ELIXIR, $0.04 
004886,GLYCOPYRROLATE,0.2 MG/ML,VIAL, $0.90 
004887,GLYCOPYRROLATE,1 MG,TABLET, $0.17 
004888,GLYCOPYRROLATE,2 MG,TABLET, $0.43 
004902,CHLORDIAZEPOXIDE/CLIDINIUM BR,5 MG-2.5MG,CAPSULE, $1.23 
004924,DICYCLOMINE HCL,20 MG,TABLET, $0.13 
004927,FLAVOXATE HCL,100 MG,TABLET, $0.70 
004929,OXYBUTYNIN CHLORIDE,5 MG,TABLET, $0.07 
004930,NICOTINE POLACRILEX,2 MG,GUM, $0.23 
004937,EPINEPHRINE,1 MG/ML,VIAL, $9.60 
004939,NOREPINEPHRINE BITARTRATE,1 MG/ML,AMPUL, $5.96 
004941,ISOPROTERENOL HCL,0.2 MG/ML,AMPUL, $19.82 
004944,ISOPROTERENOL HCL,0.2 MG/ML,VIAL, $35.01 
004976,DOPAMINE HCL IN DEXTROSE 5 %,800MG/.25L,PLAST. BAG, $0.14 
005000,DEXTROAMPHETAMINE/AMPHETAMINE,10 MG,TABLET, $0.26 
005001,DEXTROAMPHETAMINE/AMPHETAMINE,20 MG,TABLET, $0.29 
005005,DEXTROAMPHETAMINE SULFATE,10 MG,CAPSULE ER, $1.15 
005006,DEXTROAMPHETAMINE SULFATE,15 MG,CAPSULE ER, $1.81 
005009,DEXTROAMPHETAMINE SULFATE,10 MG,TABLET, $0.57 
005010,DEXTROAMPHETAMINE SULFATE,15 MG,TABLET, $9.15 
005011,DEXTROAMPHETAMINE SULFATE,5 MG,TABLET, $1.02 
005014,METHAMPHETAMINE HCL,5 MG,TABLET, $5.09 
005021,BENZPHETAMINE HCL,50 MG,TABLET, $0.50 
005025,TERBUTALINE SULFATE,2.5 MG,TABLET, $4.01 
005026,TERBUTALINE SULFATE,5 MG,TABLET, $4.90 
005032,ALBUTEROL SULFATE,2 MG/5 ML,SYRUP, $0.06 
005033,ALBUTEROL SULFATE,2 MG,TABLET, $0.96 
005034,ALBUTEROL SULFATE,4 MG,TABLET, $1.75 
005039,ALBUTEROL SULFATE,2.5 MG/3ML,VIAL-NEB, $0.06 
005040,ALBUTEROL SULFATE,5 MG/ML,SOLUTION, $1.45 
005068,PHENYLEPHRINE HCL,10 MG/ML,VIAL, $1.07 
005089,PSEUDOEPHEDRINE HCL,30 MG,TABLET, $0.01 
005097,LABETALOL HCL,5 MG/ML,VIAL, $0.18 
005098,LABETALOL HCL,100 MG,TABLET, $0.10 
005099,LABETALOL HCL,200 MG,TABLET, $0.15 
005100,LABETALOL HCL,300 MG,TABLET, $0.21 
005108,PHENOXYBENZAMINE HCL,10 MG,CAPSULE, $19.95 
005112,PHENTOLAMINE MESYLATE,5 MG,VIAL, $351.66 
005113,PROPRANOLOL HCL,120 MG,CAP SA 24H, $0.97 
005114,PROPRANOLOL HCL,160 MG,CAP SA 24H, $1.05 
005115,PROPRANOLOL HCL,60 MG,CAP SA 24H, $0.87 
005116,PROPRANOLOL HCL,80 MG,CAP SA 24H, $1.02 
005123,PROPRANOLOL HCL,10 MG,TABLET, $0.07 
005124,PROPRANOLOL HCL,20 MG,TABLET, $0.11 
005125,PROPRANOLOL HCL,40 MG,TABLET, $0.28 
005126,PROPRANOLOL HCL,60 MG,TABLET, $0.74 
005127,PROPRANOLOL HCL,80 MG,TABLET, $0.16 
005129,METOPROLOL TARTRATE,5 MG/5 ML,AMPUL, $4.87 
005131,METOPROLOL TARTRATE,100 MG,TABLET, $0.03 
005132,METOPROLOL TARTRATE,50 MG,TABLET, $0.03 
005135,NADOLOL,20 MG,TABLET, $0.18 
005136,NADOLOL,40 MG,TABLET, $0.40 
005137,NADOLOL,80 MG,TABLET, $0.28 
005138,ATENOLOL,100 MG,TABLET, $0.04 
005139,ATENOLOL,50 MG,TABLET, $0.03 
005140,TIMOLOL MALEATE,10 MG,TABLET, $2.60 
005141,TIMOLOL MALEATE,20 MG,TABLET, $4.72 
005142,TIMOLOL MALEATE,5 MG,TABLET, $1.42 
005143,PINDOLOL,10 MG,TABLET, $1.64 
005144,PINDOLOL,5 MG,TABLET, $0.92 
005145,ACEBUTOLOL HCL,200 MG,CAPSULE, $1.53 
005146,ACEBUTOLOL HCL,400 MG,CAPSULE, $2.39 
005148,ESMOLOL HCL,100MG/10ML,VIAL, $0.54 
005152,PHENTERMINE HCL,15 MG,CAPSULE, $0.24 
005154,PHENTERMINE HCL,30 MG,CAPSULE, $0.21 
005155,PHENTERMINE HCL,37.5 MG,CAPSULE, $0.23 
005159,PHENTERMINE HCL,37.5 MG,TABLET, $0.07 
005163,DIETHYLPROPION HCL,25 MG,TABLET, $0.25 
005170,PHENDIMETRAZINE TARTRATE,35 MG,TABLET, $0.15 
005229,METOCLOPRAMIDE HCL,5 MG/ML,VIAL, $0.58 
005230,METOCLOPRAMIDE HCL,5 MG/5 ML,SOLUTION, $0.04 
005231,METOCLOPRAMIDE HCL,10 MG,TABLET, $0.05 
005232,METOCLOPRAMIDE HCL,5 MG,TABLET, $0.06 
005302,OLIVE OIL,,OIL, $0.02 
005321,LANOLIN/MINERAL OIL,,LOTION, $0.01 
005352,MINERAL OIL/HYDROPHIL PETROLAT,,OINT. (G), $0.02 
005362,MINERAL OIL,,OIL, $0.03 
005418,VITAMIN E,,CREAM (G), $0.06 
005426,VITAMIN E,,OIL, $0.21 
005440,VITAMINS A AND D,,OINT. (G), $0.01 
005461,"PETROLATUM,WHITE",,OINT. (G), $0.00 
005466,CETYL ALC/STEARYL ALC/PG/SLS,,CREAM (G), $0.04 
005544,BENZOIN,,TINCTURE, $0.34 
005576,ZINC OXIDE,20 %,OINT. (G), $0.01 
005768,SALICYLIC ACID,10 %,CREAM (G), $0.23 
005789,SALICYLIC ACID,17 %,LIQUID, $0.84 
005792,SALICYLIC ACID,2 %,SHAMPOO, $0.05 
005797,TRETINOIN,0.01 %,GEL (GRAM), $1.34 
005798,TRETINOIN,0.025 %,GEL (GRAM), $1.34 
005800,TRETINOIN,0.05 %,CREAM (G), $1.01 
005801,TRETINOIN,0.1 %,CREAM (G), $1.34 
005810,BENZOYL PEROXIDE,10 %,GEL (GRAM), $0.07 
005811,BENZOYL PEROXIDE,2.5 %,GEL (GRAM), $0.28 
005813,BENZOYL PEROXIDE,5 %,GEL (GRAM), $0.12 
005826,AMMONIUM LACTATE,12 %,LOTION, $0.09 
005977,COAL TAR,0.5 %,SHAMPOO, $0.03 
005978,COAL TAR,2 %,SHAMPOO, $0.07 
006004,EUCALYPTUS OIL,,OIL, $0.14 
006017,CAPSAICIN,0.025 %,CREAM (G), $0.06 
006056,METHYL SALICYLATE,,LIQUID, $0.16 
006057,METHYL SALICYLATE,,OIL, $0.51 
006137,TROLAMINE SALICYLATE,10 %,CREAM (G), $0.06 
006174,PYRITHIONE ZINC,2 %,BAR, $3.27 
006176,PYRITHIONE ZINC,2 %,SHAMPOO, $0.03 
006208,SELENIUM SULFIDE,1 %,SHAMPOO, $0.03 
006250,SOAP,,BAR, $3.31 
006283,GREEN SOAP,,TINCTURE, $0.00 
006289,UREA,10 %,CREAM (G), $0.13 
006291,UREA,20 %,CREAM (G), $0.07 
006295,UREA,10 %,LOTION, $0.02 
006342,HETASTARCH IN 0.9 % NACL,6 %-0.9 %,PLAST. BAG, $0.06 
006346,"ANTIHEMOPHILIC FACTOR, HUMAN",1500 (+/-),VIAL, $1.06 
006353,"ANTIHEMOPHILIC FACTOR, HUMAN",500 (+/-),VIAL, $1.06 
006375,FAT EMULSIONS,20 %,EMULSION, $0.06 
006381,LECITHIN/PYRIDOXINE/KELP,,CAPSULE, $0.08 
006382,LECITHIN/PYRIDOXINE/KELP,,TABLET, $0.08 
006404,LECITHIN,1200 MG,CAPSULE, $0.05 
006416,GEMFIBROZIL,600 MG,TABLET, $0.15 
006460,LOVASTATIN,20 MG,TABLET, $0.06 
006461,LOVASTATIN,40 MG,TABLET, $0.07 
006502,AMINOCAPROIC ACID,250 MG/ML,VIAL, $0.57 
006503,AMINOCAPROIC ACID,250 MG/ML,SOLUTION, $5.13 
006504,AMINOCAPROIC ACID,500 MG,TABLET, $11.57 
006539,"HEPARIN SODIUM,PORCINE",5000/ML,SYRINGE, $3.95 
006543,"HEPARIN SODIUM,PORCINE",1000/ML,VIAL, $0.22 
006544,"HEPARIN SODIUM,PORCINE",10000/ML,VIAL, $2.85 
006546,"HEPARIN SODIUM,PORCINE",20000/ML,VIAL, $8.23 
006549,"HEPARIN SODIUM,PORCINE",5000/ML,VIAL, $0.82 
006559,WARFARIN SODIUM,10 MG,TABLET, $0.18 
006560,WARFARIN SODIUM,2.5 MG,TABLET, $0.11 
006561,WARFARIN SODIUM,2 MG,TABLET, $0.10 
006562,WARFARIN SODIUM,5 MG,TABLET, $0.10 
006563,WARFARIN SODIUM,7.5 MG,TABLET, $0.13 
006573,PENTOXIFYLLINE,400 MG,TABLET ER, $0.36 
006584,OCTREOTIDE ACETATE,50 MCG/ML,AMPUL, $14.82 
006585,OCTREOTIDE ACETATE,100 MCG/ML,AMPUL, $2.88 
006586,OCTREOTIDE ACETATE,500 MCG/ML,AMPUL, $135.37 
006599,COSYNTROPIN,0.25 MG,VIAL, $54.23 
006600,DANAZOL,100 MG,CAPSULE, $4.20 
006601,DANAZOL,200 MG,CAPSULE, $5.91 
006602,DANAZOL,50 MG,CAPSULE, $2.98 
006603,BROMOCRIPTINE MESYLATE,5 MG,CAPSULE, $4.24 
